SwitchToDesktop19,,235
MoveWindowToDesktop10,,236
MoveWindowToDesktop11,,237
MoveWindowToDesktop12,,238
MoveWindowToDesktop13,,239
MoveWindowToDesktop14,,240
MoveWindowToDesktop15,,241
MoveWindowToDesktop16,,242
MoveWindowToDesktop17,,243
MoveWindowToDesktop18,,244
MoveWindowToDesktop19,,245
TerminalCommandBlocking,,246
QuitAppUnderCursor,,247
TriggerNamedTrigger,,248
ShowFloatingWebView,,249
CustomPaste,,250
CustomMoveResize,,251
RunJavaScriptInBackgroundString,,252
RunJavaScriptOnMainThreadString,,253
ShowHUD,,254
HapticFeedback,,255
SaveSelectedTextToVariable,,256
ToggleTrueTone,,257
TogglePreset,,258
BrightnessUpLittle,,259
BrightnessDownLittle,,260
BrightnessExternalUpLittle,,261
BrightnessExternalDownLittle,,262
TakeScreenshotOrVideo,,263
KeyboardShortcut,,264
HideMenubarExtras,,265
ToggleMirroring,,266
MoveAllWindowsToMouseDisplay,,267
RestoreSavedWindowLayout,,268
SaveCurrentWindowLayout,,269
RestoreCurrentWindowLayout,,270
ConnectMIDIDevice,,271
Scroll,,272
ShowCustomContextMenu,,273
ConnectBluetoothDevice,,274
DisconnectBluetoothDevice,,275
ToggleBluetoothDevice,,276
EnableBluetooth,,277
DisableBluetooth,,278
ToggleBluetooth,,279
Plugin,,280
RunCoreJavaScript,,28
